Id;Latitude;Longitude;Elevation;HeartRate;Cadence;TrackSegmentId;Power;Temperature;Time
4077;48,863;2,237672;29,47147;143;0;15;0;0;2019-06-09 14:16:15.000
4078;48,8634;2,237309;29,49721;144;0;15;0;0;2019-06-09 14:16:09.000
4079;48,86358;2,237086;29,65839;144;0;15;0;0;2019-06-09 14:16:06.000
4080;48,86123;2,237519;32,76202;145;0;15;0;0;2019-06-09 14:16:40.000
4081;48,86364;2,236987;29,62921;144;0;15;0;0;2019-06-09 14:16:05.000
4082;48,86394;2,236177;30,67234;145;0;15;0;0;2019-06-09 14:15:57.000
4083;48,864;2,235954;31,15375;144;0;15;0;0;2019-06-09 14:15:55.000
4084;48,86404;2,235729;31,37898;145;0;15;0;0;2019-06-09 14:15:53.000
4085;48,86406;2,235623;31,38265;145;0;15;0;0;2019-06-09 14:15:52.000
4086;48,86407;2,235271;31,253;145;0;15;0;0;2019-06-09 14:15:49.000
4087;48,86406;2,235029;31,14086;144;0;15;0;0;2019-06-09 14:15:47.000
4088;48,86405;2,234917;31,11034;144;0;15;0;0;2019-06-09 14:15:46.000
4089;48,86404;2,234791;31,07335;144;0;15;0;0;2019-06-09 14:15:45.000
4090;48,86397;2,233981;31,31621;146;0;15;0;0;2019-06-09 14:15:38.000
4091;48,86368;2,236912;29,56244;144;0;15;0;0;2019-06-09 14:16:04.000
4092;48,86115;2,237478;32,89927;145;0;15;0;0;2019-06-09 14:16:41.000
4093;48,86066;2,237224;32,76284;145;0;15;0;0;2019-06-09 14:16:48.000
4094;48,8601;2,237012;33,37934;146;0;15;0;0;2019-06-09 14:16:56.000
4095;48,85328;2,236982;40,62082;151;0;15;0;0;2019-06-09 14:18:35.000
4096;48,85355;2,237094;41,15788;151;0;15;0;0;2019-06-09 14:18:31.000
4097;48,85405;2,237282;40,7865;153;0;15;0;0;2019-06-09 14:18:24.000
4098;48,85461;2,237397;39,63223;154;0;15;0;0;2019-06-09 14:18:16.000
4099;48,85506;2,237442;38,78828;155;0;15;0;0;2019-06-09 14:18:09.000
